country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Norway,Health,Sonja Ludvigsen,1973-10-16,1974-07-12,1928-02-07,1974-07-12,,Q6513396
Norway,Health,Tor Halvorsen,1974-07-12,1976-01-15,1930-11-24,1987-11-04,,Q4585320
Norway,Health,Ruth Ryste,1976-01-15,1979-10-08,1932-07-24,2023-09-21,,Q3429777
Norway,Health,Arne Nilsen,1979-10-08,1981-10-14,1924-01-21,2020-04-16,,Q4794636
Norway,Health,Leif Arne Heløe,1981-10-14,1986-05-09,1932-08-08,,,Q4584681
Norway,Health,Tove Strand,1986-05-09,1989-10-16,1946-09-29,,,Q4580501
Norway,Health,Wenche Frogn Sellæg,1989-10-16,1990-11-03,1937-08-12,,,Q1777521
Norway,Health,Tove Veierød,1990-11-03,1992-09-04,1940-09-19,,,Q7829469
Norway,Health,Werner Christie,1992-09-04,1995-12-22,1949-04-26,,,Q7983364
Norway,Health,Gudmund Hernes,1995-12-22,1997-10-17,1941-03-25,,,Q1769728
Norway,Health,Dagfinn Høybråten,1997-10-17,2000-03-17,1957-12-02,,,Q553839
Norway,Health,Tore Tønne,2000-03-17,2001-10-19,1948-03-05,2002-12-20,,Q4993411
Norway,Health,Dagfinn Høybråten,2001-10-19,2004-06-18,1957-12-02,,,Q553839
Norway,Health,Ansgar Gabrielsen,2004-06-18,2005-10-17,1955-05-21,,,Q323721
Norway,Health,Sylvia Brustad,2005-10-17,2008-06-20,1966-12-19,,,Q543152
Norway,Health,Bjarne Håkon Hanssen,2008-06-20,2009-10-20,1962-11-01,,,Q879359
Norway,Health,Anne-Grete Strøm-Erichsen,2009-10-20,2012-09-21,1949-10-21,,,Q291598
Norway,Health,Jonas Gahr Støre,2012-09-21,2013-10-16,1960-08-25,,,Q467948
Norway,Health,Bent Høie,2013-10-16,2021-10-14,1971-05-04,,,Q457128
Norway,Health,Ingvild Kjerkol,2021-10-14,2024-04-19,1975-05-18,,,Q11977297
Norway,Health,Jan Christian Vestre,2024-04-19,Incumbent,1986-10-09,,,Q17113622
