country,portfolio,name,start_date,end_date
Norway,Health,Sonja Ludvigsen,1973-10-16,1974-07-12
Norway,Health,Tor Halvorsen,1974-07-12,1976-01-15
Norway,Health,Ruth Ryste,1976-01-15,1979-10-08
Norway,Health,Arne Nilsen,1979-10-08,1981-10-14
Norway,Health,Leif Arne Heløe,1981-10-14,1986-05-09
Norway,Health,Tove Strand,1986-05-09,1989-10-16
Norway,Health,Wenche Frogn Sellæg,1989-10-16,1990-11-03
Norway,Health,Tove Veierød,1990-11-03,1992-09-04
Norway,Health,Werner Christie,1992-09-04,1995-12-22
Norway,Health,Gudmund Hernes,1995-12-22,1997-10-17
Norway,Health,Dagfinn Høybråten,1997-10-17,2000-03-17
Norway,Health,Tore Tønne,2000-03-17,2001-10-19
Norway,Health,Dagfinn Høybråten,2001-10-19,2004-06-18
Norway,Health,Ansgar Gabrielsen,2004-06-18,2005-10-17
Norway,Health,Sylvia Brustad,2005-10-17,2008-06-20
Norway,Health,Bjarne Håkon Hanssen,2008-06-20,2009-10-20
Norway,Health,Anne-Grete Strøm-Erichsen,2009-10-20,2012-09-21
Norway,Health,Jonas Gahr Støre,2012-09-21,2013-10-16
Norway,Health,Bent Høie,2013-10-16,2021-10-14
Norway,Health,Ingvild Kjerkol,2021-10-14,2024-04-19
Norway,Health,Jan Christian Vestre,2024-04-19,Incumbent
