country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Norway,Interior,Inger Louise Valle,16 October 1973,8 October 1979,1921-11-28,2006-05-21,,Q1772847
Norway,Interior,Andreas Cappelen,8 October 1979,3 October 1980,,,,Q21452592
Norway,Interior,Oddvar Berrefjord,3 October 1980,4 February 1981,1918-03-20,1999-11-25,,Q1805926
Norway,Interior,Bjørn Skau,4 February 1981,14 October 1981,1929-02-26,2013-03-02,,Q4579047
Norway,Interior,Mona Røkke,14 October 1981,4 October 1985,1940-03-03,2013-07-13,cancer,Q4559180
Norway,Interior,Wenche F. Sellæg,4 October 1985,9 May 1986,,,,Q6628658
Norway,Interior,Helen M. Bøsterud,9 May 1986,16 October 1989,,,,Q13376892
Norway,Interior,Else B. Fougner,16 October 1989,3 November 1990,,,,Q486713
Norway,Interior,Kari Gjesteby,3 November 1990,4 September 1992,1947-05-16,,,Q4571307
Norway,Interior,Grete Faremo,4 September 1992,25 October 1996,1955-06-16,,,Q446445
Norway,Interior,Anne Holt,25 October 1996,4 February 1997,1958-11-16,,,Q256763
Norway,Interior,Gerd-Liv Valla,4 February 1997,17 October 1997,1948-01-25,,,Q1771749
Norway,Interior,Aud Inger Aure,17 October 1997,15 March 1999,1942-11-12,2023-06-07,,Q4579521
Norway,Interior,Odd Einar Dørum,15 March 1999,17 March 2000,1943-10-12,,,Q1349776
Norway,Interior,Hanne Harlem,17 March 2000,19 October 2001,1964-11-20,,,Q1780809
Norway,Interior,Odd Einar Dørum,19 October 2001,17 October 2005,1943-10-12,,,Q1349776
Norway,Interior,Knut Storberget,17 October 2005,11 November 2011,1964-10-06,,,Q1343717
Norway,Interior,Grete Faremo,11 November 2011,16 October 2013,1955-06-16,,,Q446445
Norway,Interior,Anders Anundsen,16 October 2013,20 December 2016,1975-11-17,,,Q1772964
Norway,Interior,Per-Willy Amundsen,20 December 2016,17 January 2018,1971-01-21,,,Q282089
Norway,Interior,Sylvi Listhaug,17 January 2018,20 March 2018,1977-12-25,,,Q7660866
Norway,Interior,Tor Mikkel Wara,4 April 2018,15 March 2019,1964-12-27,,,Q6513446
Norway,Interior,Jøran Kallmyr,29 March 2019,24 January 2020,1978-04-15,,,Q11979676
Norway,Interior,Monica Mæland,24 January 2020,14 October 2021,1968-02-06,,,Q6515796
Norway,Interior,Emilie Enger Mehl,14 October 2021,4 February 2025,1993-08-08,,,Q19974554
Norway,Interior,Astri Aas-Hansen,4 February 2025,Incumbent,1970-12-16,,,Q11959437
