country,portfolio,name,start_date,end_date
Norway,Interior,Inger Louise Valle,16 October 1973,8 October 1979
Norway,Interior,Andreas Cappelen,8 October 1979,3 October 1980
Norway,Interior,Oddvar Berrefjord,3 October 1980,4 February 1981
Norway,Interior,Bjørn Skau,4 February 1981,14 October 1981
Norway,Interior,Mona Røkke,14 October 1981,4 October 1985
Norway,Interior,Wenche F. Sellæg,4 October 1985,9 May 1986
Norway,Interior,Helen M. Bøsterud,9 May 1986,16 October 1989
Norway,Interior,Else B. Fougner,16 October 1989,3 November 1990
Norway,Interior,Kari Gjesteby,3 November 1990,4 September 1992
Norway,Interior,Grete Faremo,4 September 1992,25 October 1996
Norway,Interior,Anne Holt,25 October 1996,4 February 1997
Norway,Interior,Gerd-Liv Valla,4 February 1997,17 October 1997
Norway,Interior,Aud Inger Aure,17 October 1997,15 March 1999
Norway,Interior,Odd Einar Dørum,15 March 1999,17 March 2000
Norway,Interior,Hanne Harlem,17 March 2000,19 October 2001
Norway,Interior,Odd Einar Dørum,19 October 2001,17 October 2005
Norway,Interior,Knut Storberget,17 October 2005,11 November 2011
Norway,Interior,Grete Faremo,11 November 2011,16 October 2013
Norway,Interior,Anders Anundsen,16 October 2013,20 December 2016
Norway,Interior,Per-Willy Amundsen,20 December 2016,17 January 2018
Norway,Interior,Sylvi Listhaug,17 January 2018,20 March 2018
Norway,Interior,Tor Mikkel Wara,4 April 2018,15 March 2019
Norway,Interior,Jøran Kallmyr,29 March 2019,24 January 2020
Norway,Interior,Monica Mæland,24 January 2020,14 October 2021
Norway,Interior,Emilie Enger Mehl,14 October 2021,4 February 2025
Norway,Interior,Astri Aas-Hansen,4 February 2025,Incumbent
