country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Norway,Transport,Annemarie Lorentzen,16 October 1973,15 January 1976,1921-09-23,2008-06-30,,Q1778325
Norway,Transport,Ragnar Christiansen,15 January 1976,11 January 1978,1922-12-28,2019-02-17,,Q4585294
Norway,Transport,Asbjørn Jordahl,11 January 1978,8 October 1979,1932-12-12,2025-07-16,,Q4585411
Norway,Transport,Ronald Bye,8 October 1979,14 October 1981,1937-11-23,2018-09-24,,Q4581787
Norway,Transport,Inger Koppernæs,14 October 1981,8 June 1983,1928-08-15,1990-08-15,,Q4560133
Norway,Transport,Johan J. Jakobsen,8 June 1983,9 May 1986,1937-04-15,2018-06-30,,Q553928
Norway,Transport,Kjell Borgen,9 May 1986,13 June 1988,1939-10-21,1996-08-22,,Q6419347
Norway,Transport,William Engseth,13 June 1988,16 October 1989,1933-08-01,,,Q4586210
Norway,Transport,Lars Gunnar Lie,16 October 1989,3 November 1990,1938-09-18,2025-04-18,,Q4586596
Norway,Transport,Kjell Opseth,3 November 1990,25 October 1996,1936-01-02,2017-12-03,,Q6419403
Norway,Transport,Sissel Rønbeck,25 October 1996,17 October 1997,1950-05-24,,,Q463724
Norway,Transport,Odd Einar Dørum,17 October 1997,15 March 1999,1943-10-12,,,Q1349776
Norway,Transport,Dag Jostein Fjærvoll,15 March 1999,17 March 2000,1947-01-20,2021-02-05,,Q1157167
Norway,Transport,Terje Moe Gustavsen,17 March 2000,19 October 2001,1954-10-20,2019-05-04,,Q4569851
Norway,Transport,Torild Skogsholm,19 October 2001,17 October 2005,1959-10-18,,,Q455126
Norway,Transport,Liv Signe Navarsete,17 October 2005,20 October 2009,1958-10-23,,,Q291655
Norway,Transport,Magnhild Meltveit Kleppa,20 October 2009,18 June 2012,1948-11-12,,,Q462543
Norway,Transport,Marit Arnstad,18 June 2012,16 October 2013,1962-05-04,,,Q1770676
Norway,Transport,Ketil Solvik-Olsen,16 October 2013,31 August 2018,1972-02-14,,,Q6395414
Norway,Transport,Jon Georg Dale,31 August 2018,24 January 2020,1984-06-16,,,Q16188198
Norway,Transport,Knut Arild Hareide,24 January 2020,14 October 2021,1972-11-23,,,Q1350399
Norway,Transport,Jon-Ivar Nygård,14 October 2021,Incumbent,1973-01-01,,,Q11979121
