country,portfolio,name,start_date,end_date
Norway,Transport,Annemarie Lorentzen,16 October 1973,15 January 1976
Norway,Transport,Ragnar Christiansen,15 January 1976,11 January 1978
Norway,Transport,Asbjørn Jordahl,11 January 1978,8 October 1979
Norway,Transport,Ronald Bye,8 October 1979,14 October 1981
Norway,Transport,Inger Koppernæs,14 October 1981,8 June 1983
Norway,Transport,Johan J. Jakobsen,8 June 1983,9 May 1986
Norway,Transport,Kjell Borgen,9 May 1986,13 June 1988
Norway,Transport,William Engseth,13 June 1988,16 October 1989
Norway,Transport,Lars Gunnar Lie,16 October 1989,3 November 1990
Norway,Transport,Kjell Opseth,3 November 1990,25 October 1996
Norway,Transport,Sissel Rønbeck,25 October 1996,17 October 1997
Norway,Transport,Odd Einar Dørum,17 October 1997,15 March 1999
Norway,Transport,Dag Jostein Fjærvoll,15 March 1999,17 March 2000
Norway,Transport,Terje Moe Gustavsen,17 March 2000,19 October 2001
Norway,Transport,Torild Skogsholm,19 October 2001,17 October 2005
Norway,Transport,Liv Signe Navarsete,17 October 2005,20 October 2009
Norway,Transport,Magnhild Meltveit Kleppa,20 October 2009,18 June 2012
Norway,Transport,Marit Arnstad,18 June 2012,16 October 2013
Norway,Transport,Ketil Solvik-Olsen,16 October 2013,31 August 2018
Norway,Transport,Jon Georg Dale,31 August 2018,24 January 2020
Norway,Transport,Knut Arild Hareide,24 January 2020,14 October 2021
Norway,Transport,Jon-Ivar Nygård,14 October 2021,Incumbent
