country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Spain,Defense,Francisco Coloma Gallegos,11 June 1973,11 July 1975,1912-04-26,1993-09-28,,Q5865464
Spain,Defense,Gabriel Pita da Veiga y Sanz,11 June 1973,14 April 1977,1909-01-31,1993-05-08,,Q5873501
Spain,Defense,Mariano Cuadra Medina,3 January 1974,11 December 1975,1912-05-12,1981-03-02,,Q15711621
Spain,Defense,Félix Álvarez-Arenas y Pacheco,11 July 1975,4 July 1977,,,,Q2190619
Spain,Defense,Carlos Franco Iribarnegaray,11 December 1975,4 July 1977,1912-08-30,1982-12-11,,Q5750378
Spain,Defense,Pascual Pery Junquera,14 April 1977,4 July 1977,1911-10-17,1989-06-20,,Q5675457
Spain,Defense,Manuel Gutiérrez Mellado,4 July 1977,6 April 1979,1912-04-30,1995-12-15,traffic collision,Q2638079
Spain,Defense,Agustín Rodríguez Sahagún,6 April 1979,26 February 1981,1932-03-27,1991-10-13,,Q2827364
Spain,Defense,Alberto Oliart Saussol,26 February 1981,3 December 1982,1928-07-29,2021-02-13,SARS-CoV-2,Q2831810
Spain,Defense,Narcís Serra Serra,3 December 1982,12 March 1991,1943-05-30,,,Q3178484
Spain,Defense,Julián García Vargas,12 March 1991,3 July 1995,1945-01-01,,,Q3189890
Spain,Defense,Gustavo Suárez Pertierra,3 July 1995,5 May 1996,1949-02-27,,,Q749149
Spain,Defense,Eduardo Serra Rexach,5 May 1996,27 April 2000,1946-12-19,,,Q11681292
Spain,Defense,Federico Trillo-Figueroa Martínez-Conde,28 April 2000,18 April 2004,1952-05-23,,,Q2878013
Spain,Defense,José Bono Martínez,18 April 2004,7 April 2006,1950-12-14,,,Q1311580
Spain,Defense,José Antonio Alonso Suárez,7 April 2006,14 April 2008,,,,Q5843971
Spain,Defense,Carme Chacón Piqueras,14 April 2008,22 December 2011,1971-03-13,2017-04-09,congenital heart disease,Q138416
Spain,Defense,Pedro Morenés y Álvarez de Eulate,22 December 2011,4 November 2016,1948-09-17,,,Q2066688
Spain,Defense,María Dolores de Cospedal García,4 November 2016,1 June 2018,1965-12-13,,,Q271658
Spain,Defense,Margarita Robles Fernández,7 June 2018,Incumbent,1956-11-10,,,Q5997107
