country,portfolio,name,start_date,end_date
Spain,Defense,Francisco Coloma Gallegos,11 June 1973,11 July 1975
Spain,Defense,Gabriel Pita da Veiga y Sanz,11 June 1973,14 April 1977
Spain,Defense,Mariano Cuadra Medina,3 January 1974,11 December 1975
Spain,Defense,Félix Álvarez-Arenas y Pacheco,11 July 1975,4 July 1977
Spain,Defense,Carlos Franco Iribarnegaray,11 December 1975,4 July 1977
Spain,Defense,Pascual Pery Junquera,14 April 1977,4 July 1977
Spain,Defense,Manuel Gutiérrez Mellado,4 July 1977,6 April 1979
Spain,Defense,Agustín Rodríguez Sahagún,6 April 1979,26 February 1981
Spain,Defense,Alberto Oliart Saussol,26 February 1981,3 December 1982
Spain,Defense,Narcís Serra Serra,3 December 1982,12 March 1991
Spain,Defense,Julián García Vargas,12 March 1991,3 July 1995
Spain,Defense,Gustavo Suárez Pertierra,3 July 1995,5 May 1996
Spain,Defense,Eduardo Serra Rexach,5 May 1996,27 April 2000
Spain,Defense,Federico Trillo-Figueroa Martínez-Conde,28 April 2000,18 April 2004
Spain,Defense,José Bono Martínez,18 April 2004,7 April 2006
Spain,Defense,José Antonio Alonso Suárez,7 April 2006,14 April 2008
Spain,Defense,Carme Chacón Piqueras,14 April 2008,22 December 2011
Spain,Defense,Pedro Morenés y Álvarez de Eulate,22 December 2011,4 November 2016
Spain,Defense,María Dolores de Cospedal García,4 November 2016,1 June 2018
Spain,Defense,Margarita Robles Fernández,7 June 2018,Incumbent
