country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Spain,Finance,Antonio Barrera de Irimo,9 June 1973,29 October 1974,1929-01-04,2014-09-24,,Q5697813
Spain,Finance,Rafael Cabello de Alba,29 October 1974,12 December 1975,1925-08-31,2010-05-04,,Q6097091
Spain,Finance,Juan-Miguel Villar Mir,12 December 1975,5 July 1976,1931-09-30,2024-07-06,,Q9015805
Spain,Finance,Eduardo Carriles,5 July 1976,4 July 1977,1923-11-28,2020-01-12,,Q5819081
Spain,Finance,Francisco Fernández Ordóñez,4 July 1977,6 April 1979,1930-06-22,1992-08-07,cancer,Q1441961
Spain,Finance,Jaime García Añoveros,6 April 1979,2 December 1982,1932-01-24,2000-03-15,,Q3026732
Spain,Finance,Miguel Boyer Salvador,3 December 1982,6 July 1985,1939-02-05,2014-09-29,pulmonary embolism,Q3312950
Spain,Finance,Carlos Solchaga Catalán,6 July 1985,13 July 1993,1944-05-28,,,Q2749496
Spain,Finance,Pedro Solbes Mira,14 July 1993,5 May 1996,1942-08-31,2023-03-18,liver cancer,Q458323
Spain,Finance,Rodrigo Rato Figaredo,6 May 1996,28 April 2000,1949-03-18,,,Q455748
Spain,Finance,Cristóbal Montoro Romero,28 April 2000,17 April 2004,1950-07-28,,,Q780453
Spain,Finance,Pedro Solbes Mira,18 April 2004,7 April 2009,1942-08-31,2023-03-18,liver cancer,Q458323
Spain,Finance,Elena Salgado Méndez,7 April 2009,22 December 2011,1949-05-12,,,Q266114
Spain,Finance,Cristóbal Montoro Romero,22 December 2011,1 June 2018,1950-07-28,,,Q780453
Spain,Finance,María Jesús Montero,6 June 2018,Incumbent,1966-02-04,,,Q6003983
