country,portfolio,name,start_date,end_date
Spain,Finance,Antonio Barrera de Irimo,9 June 1973,29 October 1974
Spain,Finance,Rafael Cabello de Alba,29 October 1974,12 December 1975
Spain,Finance,Juan-Miguel Villar Mir,12 December 1975,5 July 1976
Spain,Finance,Eduardo Carriles,5 July 1976,4 July 1977
Spain,Finance,Francisco Fernández Ordóñez,4 July 1977,6 April 1979
Spain,Finance,Jaime García Añoveros,6 April 1979,2 December 1982
Spain,Finance,Miguel Boyer Salvador,3 December 1982,6 July 1985
Spain,Finance,Carlos Solchaga Catalán,6 July 1985,13 July 1993
Spain,Finance,Pedro Solbes Mira,14 July 1993,5 May 1996
Spain,Finance,Rodrigo Rato Figaredo,6 May 1996,28 April 2000
Spain,Finance,Cristóbal Montoro Romero,28 April 2000,17 April 2004
Spain,Finance,Pedro Solbes Mira,18 April 2004,7 April 2009
Spain,Finance,Elena Salgado Méndez,7 April 2009,22 December 2011
Spain,Finance,Cristóbal Montoro Romero,22 December 2011,1 June 2018
Spain,Finance,María Jesús Montero,6 June 2018,Incumbent
