country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Spain,Health,Enrique Sánchez de León,5 July 1977,6 April 1979,1934-06-09,2025-04-05,,Q3054710
Spain,Health,Juan Rovira Tarazona,6 April 1979,9 September 1980,1930-05-05,1990-06-03,,Q3187785
Spain,Health,Alberto Oliart,9 September 1980,27 February 1981,1928-07-29,2021-02-13,SARS-CoV-2,Q2831810
Spain,Health,Jesús Sancho Rof,27 February 1981,2 December 1981,1940-12-16,,,Q3177760
Spain,Health,Manuel Núñez Pérez,2 December 1981,3 December 1982,1933-10-28,,,Q3286897
Spain,Health,Ernest Lluch,3 December 1982,26 July 1986,1937-01-21,2000-11-21,gunshot wound,Q1892914
Spain,Health,Julián García Vargas,26 July 1986,13 March 1991,1945-01-01,,,Q3189890
Spain,Health,Julián García Valverde,13 March 1991,13 January 1992,1946-03-20,,,Q2749818
Spain,Health,José Antonio Griñán,13 January 1992,14 July 1993,1946-06-07,,,Q924499
Spain,Health,Ángeles Amador,14 July 1993,6 May 1996,1949-10-10,,,Q3327529
Spain,Health,José Manuel Romay Beccaría,6 May 1996,28 April 2000,1934-01-18,,,Q3109576
Spain,Health,Celia Villalobos,28 April 2000,10 July 2002,1949-04-18,,,Q2612928
Spain,Health,Ana Pastor,10 July 2002,18 April 2004,,,,Q1181995
Spain,Health,Elena Salgado,18 April 2004,9 July 2007,1949-05-12,,,Q266114
Spain,Health,Bernat Soria,9 July 2007,7 April 2009,1951-05-07,,,Q2746478
Spain,Health,Trinidad Jiménez,7 April 2009,21 October 2010,1962-06-04,,,Q260218
Spain,Health,Leire Pajín,21 October 2010,22 December 2011,1976-09-16,,,Q435199
Spain,Health,Ana Mato,22 December 2011,26 November 2014,1959-09-24,,,Q287892
Spain,Health,Soraya Sáenz de Santamaría,26 November 2014,3 December 2014,1971-06-10,,,Q41267
Spain,Health,Alfonso Alonso,3 December 2014,10 August 2016,1967-04-14,,,Q635164
Spain,Health,Fátima Báñez,10 August 2016,4 November 2016,1967-01-06,,,Q453730
Spain,Health,Dolors Montserrat,4 November 2016,7 June 2018,1973-09-18,,,Q11917597
Spain,Health,Carmen Montón,7 June 2018,11 September 2018,1976-03-09,,,Q4890432
Spain,Health,María Luisa Carcedo,11 September 2018,13 January 2020,1953-08-30,,,Q6004169
Spain,Health,Salvador Illa,13 January 2020,27 January 2021,1966-05-05,,,Q64577417
Spain,Health,Carolina Darias,27 January 2021,28 March 2023,1965-11-25,,,Q5753193
Spain,Health,José Miñones,28 March 2023,21 November 2023,1972-07-17,,,Q20535305
Spain,Health,Mónica García,21 November 2023,Incumbent,1974-01-16,,,Q62591710
