country,portfolio,name,start_date,end_date
Spain,Health,Enrique Sánchez de León,5 July 1977,6 April 1979
Spain,Health,Juan Rovira Tarazona,6 April 1979,9 September 1980
Spain,Health,Alberto Oliart,9 September 1980,27 February 1981
Spain,Health,Jesús Sancho Rof,27 February 1981,2 December 1981
Spain,Health,Manuel Núñez Pérez,2 December 1981,3 December 1982
Spain,Health,Ernest Lluch,3 December 1982,26 July 1986
Spain,Health,Julián García Vargas,26 July 1986,13 March 1991
Spain,Health,Julián García Valverde,13 March 1991,13 January 1992
Spain,Health,José Antonio Griñán,13 January 1992,14 July 1993
Spain,Health,Ángeles Amador,14 July 1993,6 May 1996
Spain,Health,José Manuel Romay Beccaría,6 May 1996,28 April 2000
Spain,Health,Celia Villalobos,28 April 2000,10 July 2002
Spain,Health,Ana Pastor,10 July 2002,18 April 2004
Spain,Health,Elena Salgado,18 April 2004,9 July 2007
Spain,Health,Bernat Soria,9 July 2007,7 April 2009
Spain,Health,Trinidad Jiménez,7 April 2009,21 October 2010
Spain,Health,Leire Pajín,21 October 2010,22 December 2011
Spain,Health,Ana Mato,22 December 2011,26 November 2014
Spain,Health,Soraya Sáenz de Santamaría,26 November 2014,3 December 2014
Spain,Health,Alfonso Alonso,3 December 2014,10 August 2016
Spain,Health,Fátima Báñez,10 August 2016,4 November 2016
Spain,Health,Dolors Montserrat,4 November 2016,7 June 2018
Spain,Health,Carmen Montón,7 June 2018,11 September 2018
Spain,Health,María Luisa Carcedo,11 September 2018,13 January 2020
Spain,Health,Salvador Illa,13 January 2020,27 January 2021
Spain,Health,Carolina Darias,27 January 2021,28 March 2023
Spain,Health,José Miñones,28 March 2023,21 November 2023
Spain,Health,Mónica García,21 November 2023,Incumbent
