country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Spain,Interior,José García Hernández,1974-01-03,1975-12-11,1915-03-19,2000-02-05,,Q11929081
Spain,Interior,Manuel Fraga,1975-12-11,1976-07-07,1922-11-23,2012-01-15,heart failure,Q276043
Spain,Interior,Rodolfo Martín Villa,1976-07-07,1979-04-05,1934-10-03,,,Q3327791
Spain,Interior,Antonio Ibáñez Freire,1979-04-05,1980-05-02,1913-09-25,2003-05-09,,Q2857316
Spain,Interior,Juan José Rosón,1980-05-02,1982-12-02,1932-09-25,1986-08-18,myocardial infarction,Q3026812
Spain,Interior,José Barrionuevo,1982-12-02,1988-07-11,1942-03-13,,,Q3186196
Spain,Interior,José Luis Corcuera,1988-07-11,1993-11-24,1945-07-02,,,Q3186359
Spain,Interior,Antoni Asunción,1993-11-24,1994-05-05,1951-07-12,2016-03-05,cancer,Q2748839
Spain,Interior,Juan Alberto Belloch,1994-05-05,1996-05-05,1950-02-03,,,Q259692
Spain,Interior,Jaime Mayor Oreja,1996-05-05,2001-02-27,1951-07-12,,,Q701362
Spain,Interior,Mariano Rajoy,2001-02-27,2002-07-09,1955-03-27,,,Q10819
Spain,Interior,Ángel Acebes,2002-07-09,2004-04-18,1958-07-03,,,Q2628231
Spain,Interior,José Antonio Alonso Suárez,2004-04-18,2006-04-11,,,,Q5843971
Spain,Interior,Alfredo Pérez Rubalcaba,2006-04-11,2011-07-11,1951-07-28,2019-05-10,stroke,Q333638
Spain,Interior,Antonio Camacho Vizcaíno,2011-07-11,2011-12-22,1964-02-11,,,Q601153
Spain,Interior,Jorge Fernández Díaz,2011-12-22,2016-11-04,1950-04-06,,,Q1297890
Spain,Interior,Juan Ignacio Zoido,2016-11-04,2018-06-07,1957-01-21,,,Q2223607
Spain,Interior,Fernando Grande-Marlaska,2018-06-07,Incumbent,1962-07-26,,,Q6746375
