country,portfolio,name,start_date,end_date
Spain,Interior,José García Hernández,1974-01-03,1975-12-11
Spain,Interior,Manuel Fraga,1975-12-11,1976-07-07
Spain,Interior,Rodolfo Martín Villa,1976-07-07,1979-04-05
Spain,Interior,Antonio Ibáñez Freire,1979-04-05,1980-05-02
Spain,Interior,Juan José Rosón,1980-05-02,1982-12-02
Spain,Interior,José Barrionuevo,1982-12-02,1988-07-11
Spain,Interior,José Luis Corcuera,1988-07-11,1993-11-24
Spain,Interior,Antoni Asunción,1993-11-24,1994-05-05
Spain,Interior,Juan Alberto Belloch,1994-05-05,1996-05-05
Spain,Interior,Jaime Mayor Oreja,1996-05-05,2001-02-27
Spain,Interior,Mariano Rajoy,2001-02-27,2002-07-09
Spain,Interior,Ángel Acebes,2002-07-09,2004-04-18
Spain,Interior,José Antonio Alonso Suárez,2004-04-18,2006-04-11
Spain,Interior,Alfredo Pérez Rubalcaba,2006-04-11,2011-07-11
Spain,Interior,Antonio Camacho Vizcaíno,2011-07-11,2011-12-22
Spain,Interior,Jorge Fernández Díaz,2011-12-22,2016-11-04
Spain,Interior,Juan Ignacio Zoido,2016-11-04,2018-06-07
Spain,Interior,Fernando Grande-Marlaska,2018-06-07,Incumbent
