country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Spain,Transport,Antonio Valdés González-Roldán,1974-01-31,1976-07-01,1926-05-23,2007-10-10,,Q5700015
Spain,Transport,Leopoldo Calvo-Sotelo,1976-07-05,1977-04-15,1926-04-14,2008-05-03,cardiac arrest,Q273129
Spain,Transport,Luis Ortiz González,1977-04-15,1977-07-04,1932-07-03,2006-02-02,,Q3028472
Spain,Transport,José Lladó Fernández-Urrutia,1977-07-04,1978-02-24,1934-03-29,2024-02-14,,Q934184
Spain,Transport,Salvador Sánchez-Terán,1978-02-24,1980-05-03,1934-04-19,2022-12-31,,Q3470338
Spain,Transport,José Luis Álvarez y Álvarez,1980-05-03,1981-12-01,1790-01-27,1867-08-21,,Q460776
Spain,Transport,Luis Gámir Casares,1981-12-01,1982-12-02,1942-05-08,2017-01-15,,Q3266718
Spain,Transport,Enrique Barón Crespo,1982-12-02,1985-07-06,1944-03-27,,,Q449826
Spain,Transport,Abel Caballero Álvarez,1985-07-06,1988-07-07,1946-09-02,,,Q2821496
Spain,Transport,José Barrionuevo Peña,1988-07-07,1991-03-31,1942-03-13,,,Q3186196
Spain,Transport,Josep Borrell Fontelles,1991-03-31,1996-05-06,1947-04-24,,,Q312901
Spain,Transport,Rafael Arias-Salgado,1996-05-06,2000-04-27,1942-01-26,,,Q3109308
Spain,Transport,Francisco Álvarez-Cascos,2000-04-27,2004-04-18,1947-10-01,,,Q2349461
Spain,Transport,Magdalena Álvarez Arza,2004-04-18,2009-04-07,1952-02-15,,,Q270883
Spain,Transport,José Blanco López,2009-04-07,2011-12-22,1962-02-06,,,Q628418
Spain,Transport,Ana Pastor Julián,2011-12-22,2016-07-19,1957-11-11,,,Q433215
Spain,Transport,Rafael Catalá Polo,2016-07-19,2016-11-04,1961-06-21,,,Q6097148
Spain,Transport,Íñigo de la Serna,2016-11-04,2018-06-07,1971-01-10,,,Q3592990
Spain,Transport,José Luis Ábalos Meco,2018-06-07,2021-07-12,1959-12-09,,,Q3820056
Spain,Transport,Raquel Sánchez Jiménez,2021-07-12,2023-11-21,1975-11-18,,,Q16302262
Spain,Transport,Óscar Puente,2023-11-21,Incumbent,1968-11-15,,,Q6174903
