country,portfolio,name,start_date,end_date
Spain,Transport,Antonio Valdés González-Roldán,1974-01-31,1976-07-01
Spain,Transport,Leopoldo Calvo-Sotelo,1976-07-05,1977-04-15
Spain,Transport,Luis Ortiz González,1977-04-15,1977-07-04
Spain,Transport,José Lladó Fernández-Urrutia,1977-07-04,1978-02-24
Spain,Transport,Salvador Sánchez-Terán,1978-02-24,1980-05-03
Spain,Transport,José Luis Álvarez y Álvarez,1980-05-03,1981-12-01
Spain,Transport,Luis Gámir Casares,1981-12-01,1982-12-02
Spain,Transport,Enrique Barón Crespo,1982-12-02,1985-07-06
Spain,Transport,Abel Caballero Álvarez,1985-07-06,1988-07-07
Spain,Transport,José Barrionuevo Peña,1988-07-07,1991-03-31
Spain,Transport,Josep Borrell Fontelles,1991-03-31,1996-05-06
Spain,Transport,Rafael Arias-Salgado,1996-05-06,2000-04-27
Spain,Transport,Francisco Álvarez-Cascos,2000-04-27,2004-04-18
Spain,Transport,Magdalena Álvarez Arza,2004-04-18,2009-04-07
Spain,Transport,José Blanco López,2009-04-07,2011-12-22
Spain,Transport,Ana Pastor Julián,2011-12-22,2016-07-19
Spain,Transport,Rafael Catalá Polo,2016-07-19,2016-11-04
Spain,Transport,Íñigo de la Serna,2016-11-04,2018-06-07
Spain,Transport,José Luis Ábalos Meco,2018-06-07,2021-07-12
Spain,Transport,Raquel Sánchez Jiménez,2021-07-12,2023-11-21
Spain,Transport,Óscar Puente,2023-11-21,Incumbent
