country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Sweden,Defense,Eric Holmqvist,31 October 1973,8 October 1976,1910-04-05,1987-09-21,,Q953952
Sweden,Defense,Eric Krönmark,8 October 1976,18 October 1978,1931-06-02,2024-01-12,,Q5925133
Sweden,Defense,Lars de Geer,18 October 1978,12 October 1979,,,,Q934315
Sweden,Defense,Eric Krönmark,12 October 1979,5 May 1981,1931-06-02,2024-01-12,,Q5925133
Sweden,Defense,Anders Dahlgren,5 May 1981,22 May 1981,1925-12-23,1986-03-24,,Q4753755
Sweden,Defense,Torsten Gustafsson,22 May 1981,8 October 1982,1920-02-22,1994-01-14,,Q6131173
Sweden,Defense,Börje Andersson,8 October 1982,1 December 1982,,,,Q1566064
Sweden,Defense,Curt Boström,1 December 1982,17 January 1983,1926-12-31,2014-03-03,,Q5583208
Sweden,Defense,Anders Thunborg,17 January 1983,14 October 1985,1934-06-09,2004-12-10,,Q6209830
Sweden,Defense,Roine Carlsson,14 October 1985,4 October 1991,1937-12-10,2020-08-25,,Q5603378
Sweden,Defense,Anders Björck,4 October 1991,7 October 1994,1944-09-19,,,Q490785
Sweden,Defense,Thage G. Peterson,7 October 1994,1 February 1997,1933-09-24,,,Q2408431
Sweden,Defense,Björn von Sydow,1 February 1997,30 September 2002,1945-11-26,,,Q879773
Sweden,Defense,Lena Hjelm-Wallén,30 September 2002,22 October 2002,1943-01-14,,,Q460919
Sweden,Defense,Pär Nuder,22 October 2002,4 November 2002,1963-02-27,,,Q320842
Sweden,Defense,Leni Björklund,4 November 2002,6 October 2006,1944-07-05,,,Q547534
Sweden,Defense,Mikael Odenberg,6 October 2006,5 September 2007,1953-12-14,,,Q719015
Sweden,Defense,Sten Tolgfors,5 September 2007,29 March 2012,1966-07-17,,,Q984112
Sweden,Defense,Catharina Elmsäter-Svärd,29 March 2012,18 April 2012,1965-11-23,,,Q2941786
Sweden,Defense,Karin Enström,18 April 2012,3 October 2014,1966-03-23,,,Q3544279
Sweden,Defense,Peter Hultqvist,3 October 2014,18 October 2022,1958-12-31,,,Q3370162
Sweden,Defense,Pål Jonson,18 October 2022,Incumbent,1972-05-30,,,Q27299991
