country,portfolio,name,start_date,end_date
Sweden,Defense,Eric Holmqvist,31 October 1973,8 October 1976
Sweden,Defense,Eric Krönmark,8 October 1976,18 October 1978
Sweden,Defense,Lars de Geer,18 October 1978,12 October 1979
Sweden,Defense,Eric Krönmark,12 October 1979,5 May 1981
Sweden,Defense,Anders Dahlgren,5 May 1981,22 May 1981
Sweden,Defense,Torsten Gustafsson,22 May 1981,8 October 1982
Sweden,Defense,Börje Andersson,8 October 1982,1 December 1982
Sweden,Defense,Curt Boström,1 December 1982,17 January 1983
Sweden,Defense,Anders Thunborg,17 January 1983,14 October 1985
Sweden,Defense,Roine Carlsson,14 October 1985,4 October 1991
Sweden,Defense,Anders Björck,4 October 1991,7 October 1994
Sweden,Defense,Thage G. Peterson,7 October 1994,1 February 1997
Sweden,Defense,Björn von Sydow,1 February 1997,30 September 2002
Sweden,Defense,Lena Hjelm-Wallén,30 September 2002,22 October 2002
Sweden,Defense,Pär Nuder,22 October 2002,4 November 2002
Sweden,Defense,Leni Björklund,4 November 2002,6 October 2006
Sweden,Defense,Mikael Odenberg,6 October 2006,5 September 2007
Sweden,Defense,Sten Tolgfors,5 September 2007,29 March 2012
Sweden,Defense,Catharina Elmsäter-Svärd,29 March 2012,18 April 2012
Sweden,Defense,Karin Enström,18 April 2012,3 October 2014
Sweden,Defense,Peter Hultqvist,3 October 2014,18 October 2022
Sweden,Defense,Pål Jonson,18 October 2022,Incumbent
