country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Sweden,Finance,Gunnar Sträng,12 September 1955,8 October 1976,1906-12-23,1992-03-07,,Q354112
Sweden,Finance,Gösta Bohman,8 October 1976,26 November 1976,1911-01-15,1997-08-12,,Q263366
Sweden,Finance,Kjell-Olof Feldt,1 January 1983,15 February 1990,1931-08-18,2025-01-08,,Q927466
Sweden,Finance,Odd Engström,15 February 1990,27 February 1990,1941-09-20,1998-05-18,myocardial infarction,Q5713152
Sweden,Finance,Allan Larsson,27 February 1990,4 October 1991,1938-04-03,,,Q4730772
Sweden,Finance,Anne Wibble,4 October 1991,7 October 1994,1943-10-13,2000-03-14,cancer,Q273408
Sweden,Finance,Göran Persson,7 October 1994,22 March 1996,1949-01-20,,,Q53747
Sweden,Finance,Erik Åsbrink,22 March 1996,12 April 1999,1947-02-01,,,Q5388933
Sweden,Finance,Bosse Ringholm,12 April 1999,31 October 2004,1942-08-18,,,Q321595
Sweden,Finance,Pär Nuder,31 October 2004,6 October 2006,1963-02-27,,,Q320842
Sweden,Finance,Anders Borg,6 October 2006,3 October 2014,1968-01-11,,,Q182050
Sweden,Finance,Magdalena Andersson,3 October 2014,30 November 2021,1967-01-23,,,Q4935873
Sweden,Finance,Mikael Damberg,30 November 2021,18 October 2022,1971-10-13,,,Q3372917
Sweden,Finance,Elisabeth Svantesson,18 October 2022,Incumbent,1967-10-26,,,Q4981393
