country,portfolio,name,start_date,end_date
Sweden,Finance,Gunnar Sträng,12 September 1955,8 October 1976
Sweden,Finance,Gösta Bohman,8 October 1976,26 November 1976
Sweden,Finance,Kjell-Olof Feldt,1 January 1983,15 February 1990
Sweden,Finance,Odd Engström,15 February 1990,27 February 1990
Sweden,Finance,Allan Larsson,27 February 1990,4 October 1991
Sweden,Finance,Anne Wibble,4 October 1991,7 October 1994
Sweden,Finance,Göran Persson,7 October 1994,22 March 1996
Sweden,Finance,Erik Åsbrink,22 March 1996,12 April 1999
Sweden,Finance,Bosse Ringholm,12 April 1999,31 October 2004
Sweden,Finance,Pär Nuder,31 October 2004,6 October 2006
Sweden,Finance,Anders Borg,6 October 2006,3 October 2014
Sweden,Finance,Magdalena Andersson,3 October 2014,30 November 2021
Sweden,Finance,Mikael Damberg,30 November 2021,18 October 2022
Sweden,Finance,Elisabeth Svantesson,18 October 2022,Incumbent
