country,portfolio,name,start_date,end_date
Sweden,Health,Sven Aspling,1962-09-19,1976-10-08
Sweden,Health,Rune Gustavsson,1976-10-08,1978-10-18
Sweden,Health,Gabriel Romanus,1978-10-18,1979-10-12
Sweden,Health,Karin Söder,1979-10-12,1982-10-08
Sweden,Health,Sten Andersson,1982-10-08,1985-10-16
Sweden,Health,Gertrud Sigurdsen,1985-10-16,1989-01-29
Sweden,Health,Sven Hulterström,1989-01-29,1990-01-11
Sweden,Health,Ingela Thalén,1990-01-11,1991-10-04
Sweden,Health,Bengt Westerberg,1991-10-04,1994-10-07
Sweden,Health,Ingela Thalén,1994-10-07,1996-03-22
Sweden,Health,Margot Wallström,1996-03-22,1998-10-07
Sweden,Health,Anders Sundström,1998-10-07,1998-10-26
Sweden,Health,Maj-Inger Klingvall,1998-10-26,1998-11-16
Sweden,Health,Lars Engqvist,1998-11-16,2004-10-01
Sweden,Health,Berit Andnor,2004-10-01,2006-10-06
Sweden,Health,Göran Hägglund,2006-10-06,2014-10-03
Sweden,Health,Annika Strandhäll,2014-10-03,2019-01-21
Sweden,Health,Lena Hallengren,2019-01-21,2022-10-06
Sweden,Health,Ardalan Shekarabi,2022-10-06,2022-10-18
Sweden,Health,Jakob Forssmed,2022-10-18,Incumbent
