country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Sweden,Interior,Lennart Geijer,1969-11-25,1976-10-08,1909-09-14,1999-06-16,,Q2130664
Sweden,Interior,Sven Romanus,1976-10-08,1979-10-12,1906-01-19,2005-04-30,,Q6077653
Sweden,Interior,Håkan Winberg,1979-10-12,1981-05-05,1931-07-30,2022-04-22,,Q6243875
Sweden,Interior,Carl Axel Petri,1981-05-05,1982-10-08,1929-08-12,2017-12-03,,Q3658738
Sweden,Interior,Ove Rainer,1982-10-08,1983-11-10,1925-09-14,1987-01-27,,Q6061623
Sweden,Interior,Sten Wickbom,1983-11-15,1987-10-19,1931-03-14,2015-12-26,,Q6239734
Sweden,Interior,Anna-Greta Leijon,1987-10-19,1988-06-07,1939-06-30,2024-04-11,,Q1796120
Sweden,Interior,Thage G. Peterson,1988-06-07,1988-09-30,1933-09-24,,,Q2408431
Sweden,Interior,Laila Freivalds,1988-10-04,1991-10-04,1942-06-22,,,Q291648
Sweden,Interior,Gun Hellsvik,1991-10-04,1994-10-07,1942-09-27,2016-11-14,,Q1780585
Sweden,Interior,Laila Freivalds,1994-10-07,1996-07-01,1942-06-22,,,Q291648
Sweden,Interior,Jörgen Andersson,1996-07-01,1998-10-06,1951-09-14,,,Q5555098
Sweden,Interior,Lars Engqvist,1998-10-06,1998-11-16,1945-08-13,,,Q5854875
Sweden,Interior,Lars-Erik Lövdén,1998-11-16,1998-12-31,1950-01-11,,,Q3218127
Sweden,Interior,Laila Freivalds,1999-01-01,2000-09-21,1942-06-22,,,Q291648
Sweden,Interior,Thomas Bodström,2000-10-11,2006-10-06,1962-04-09,,,Q3141607
Sweden,Interior,Beatrice Ask,2006-10-06,2014-10-03,1956-04-20,,,Q297850
Sweden,Interior,Anders Ygeman,2014-10-03,2017-07-27,1970-06-17,,,Q3375050
Sweden,Interior,Morgan Johansson,2017-07-27,2019-01-21,1970-05-14,,,Q5887217
Sweden,Interior,Mikael Damberg,2019-01-21,2021-11-30,1971-10-13,,,Q3372917
Sweden,Interior,Morgan Johansson,2021-11-30,2022-10-18,1970-05-14,,,Q5887217
Sweden,Interior,Gunnar Strömmer,2022-10-18,Incumbent,1972-09-19,,,Q6193547
