country,portfolio,name,start_date,end_date
Sweden,Interior,Lennart Geijer,1969-11-25,1976-10-08
Sweden,Interior,Sven Romanus,1976-10-08,1979-10-12
Sweden,Interior,Håkan Winberg,1979-10-12,1981-05-05
Sweden,Interior,Carl Axel Petri,1981-05-05,1982-10-08
Sweden,Interior,Ove Rainer,1982-10-08,1983-11-10
Sweden,Interior,Sten Wickbom,1983-11-15,1987-10-19
Sweden,Interior,Anna-Greta Leijon,1987-10-19,1988-06-07
Sweden,Interior,Thage G. Peterson,1988-06-07,1988-09-30
Sweden,Interior,Laila Freivalds,1988-10-04,1991-10-04
Sweden,Interior,Gun Hellsvik,1991-10-04,1994-10-07
Sweden,Interior,Laila Freivalds,1994-10-07,1996-07-01
Sweden,Interior,Jörgen Andersson,1996-07-01,1998-10-06
Sweden,Interior,Lars Engqvist,1998-10-06,1998-11-16
Sweden,Interior,Lars-Erik Lövdén,1998-11-16,1998-12-31
Sweden,Interior,Laila Freivalds,1999-01-01,2000-09-21
Sweden,Interior,Thomas Bodström,2000-10-11,2006-10-06
Sweden,Interior,Beatrice Ask,2006-10-06,2014-10-03
Sweden,Interior,Anders Ygeman,2014-10-03,2017-07-27
Sweden,Interior,Morgan Johansson,2017-07-27,2019-01-21
Sweden,Interior,Mikael Damberg,2019-01-21,2021-11-30
Sweden,Interior,Morgan Johansson,2021-11-30,2022-10-18
Sweden,Interior,Gunnar Strömmer,2022-10-18,Incumbent
