country,portfolio,name,start_date,end_date
Sweden,Transport,Bengt Norling,1 July 1969,8 October 1976
Sweden,Transport,Bo Turesson,8 October 1976,18 October 1978
Sweden,Transport,Anitha Bondestam,18 October 1978,12 October 1979
Sweden,Transport,Ulf Adelsohn,12 October 1979,5 May 1981
Sweden,Transport,Olof Johansson,5 May 1981,22 May 1981
Sweden,Transport,Claes Elmstedt,22 May 1981,8 October 1982
Sweden,Transport,Curt Boström,8 October 1982,30 June 1985
Sweden,Transport,Roine Carlsson,1 July 1985,17 October 1985
Sweden,Transport,Sven Hulterström,18 October 1985,29 January 1989
Sweden,Transport,Georg Andersson,30 January 1989,4 October 1991
Sweden,Transport,Mats Odell,4 October 1991,7 October 1994
Sweden,Transport,Ines Uusman,7 October 1994,7 October 1998
Sweden,Transport,Björn Rosengren,7 October 1998,16 October 2000
Sweden,Transport,Ulrica Messing,16 October 2000,6 October 2006
Sweden,Transport,Åsa Torstensson,6 October 2006,5 October 2010
Sweden,Transport,Catharina Elmsäter-Svärd,5 October 2010,3 October 2014
Sweden,Transport,Anna Johansson,3 October 2014,27 July 2017
Sweden,Transport,Tomas Eneroth,27 July 2017,18 October 2022
Sweden,Transport,Andreas Carlson,18 October 2022,Incumbent
