country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
UK,Defense,Roy Mason,5 March 1974,9 September 1976,1924-04-18,2015-04-20,,Q333700
UK,Defense,Fred Mulley,10 September 1976,4 May 1979,1918-07-03,1995-03-15,,Q334362
UK,Defense,Francis Pym,5 May 1979,4 January 1981,1922-02-13,2008-03-07,,Q332759
UK,Defense,John Nott,5 January 1981,5 January 1983,1932-02-01,2024-11-06,,Q333406
UK,Defense,Michael Heseltine,6 January 1983,8 January 1986,1933-03-21,,,Q332314
UK,Defense,George Younger,9 January 1986,23 July 1989,1894-12-04,1967-02-14,,Q333823
UK,Defense,Tom King,28 July 1989,9 April 1992,,,,Q20661376
UK,Defense,Malcolm Rifkind,10 April 1992,4 July 1995,1946-06-21,,,Q333487
UK,Defense,Michael Portillo,5 July 1995,2 May 1997,1953-05-26,,,Q333525
UK,Defense,George Robertson,3 May 1997,11 October 1999,,,,Q1038741
UK,Defense,Geoff Hoon,11 October 1999,6 May 2005,1953-12-06,,,Q332385
UK,Defense,John Reid,6 May 2005,5 May 2006,,,,Q1039953
UK,Defense,Des Browne,5 May 2006,3 October 2008,1952-03-22,,,Q332587
UK,Defense,John Hutton,3 October 2008,5 June 2009,,,,Q1040425
UK,Defense,Bob Ainsworth,5 June 2009,11 May 2010,1952-06-19,,,Q258738
UK,Defense,Liam Fox,12 May 2010,14 October 2011,1961-09-22,,,Q332374
UK,Defense,Philip Hammond,14 October 2011,15 July 2014,1955-12-04,,,Q332987
UK,Defense,Michael Fallon,15 July 2014,1 November 2017,1952-05-14,,,Q304095
UK,Defense,Gavin Williamson,2 November 2017,1 May 2019,1976-06-25,,,Q262409
UK,Defense,Penny Mordaunt,1 May 2019,24 July 2019,1973-03-04,,,Q580464
UK,Defense,Ben Wallace,24 July 2019,31 August 2023,,,,Q65935360
UK,Defense,Grant Shapps,31 August 2023,5 July 2024,1968-09-14,,,Q478596
UK,Defense,John Healey,5 July 2024,Present,1960-02-13,,,Q615077
