country,portfolio,name,start_date,end_date
UK,Defense,Roy Mason,5 March 1974,9 September 1976
UK,Defense,Fred Mulley,10 September 1976,4 May 1979
UK,Defense,Francis Pym,5 May 1979,4 January 1981
UK,Defense,John Nott,5 January 1981,5 January 1983
UK,Defense,Michael Heseltine,6 January 1983,8 January 1986
UK,Defense,George Younger,9 January 1986,23 July 1989
UK,Defense,Tom King,28 July 1989,9 April 1992
UK,Defense,Malcolm Rifkind,10 April 1992,4 July 1995
UK,Defense,Michael Portillo,5 July 1995,2 May 1997
UK,Defense,George Robertson,3 May 1997,11 October 1999
UK,Defense,Geoff Hoon,11 October 1999,6 May 2005
UK,Defense,John Reid,6 May 2005,5 May 2006
UK,Defense,Des Browne,5 May 2006,3 October 2008
UK,Defense,John Hutton,3 October 2008,5 June 2009
UK,Defense,Bob Ainsworth,5 June 2009,11 May 2010
UK,Defense,Liam Fox,12 May 2010,14 October 2011
UK,Defense,Philip Hammond,14 October 2011,15 July 2014
UK,Defense,Michael Fallon,15 July 2014,1 November 2017
UK,Defense,Gavin Williamson,2 November 2017,1 May 2019
UK,Defense,Penny Mordaunt,1 May 2019,24 July 2019
UK,Defense,Ben Wallace,24 July 2019,31 August 2023
UK,Defense,Grant Shapps,31 August 2023,5 July 2024
UK,Defense,John Healey,5 July 2024,Present
