country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
UK,Finance,Denis Healey,5 March 1974,4 May 1979,1917-08-30,2015-10-03,,Q332360
UK,Finance,Geoffrey Howe,4 May 1979,11 June 1983,1926-12-20,2015-10-09,myocardial infarction,Q332323
UK,Finance,Nigel Lawson,11 June 1983,26 October 1989,1932-03-11,2023-04-03,,Q335078
UK,Finance,John Major,26 October 1989,28 November 1990,1943-03-29,,,Q9559
UK,Finance,Norman Lamont,28 November 1990,27 May 1993,1942-05-08,,,Q332546
UK,Finance,Kenneth Clarke,27 May 1993,2 May 1997,1940-07-02,,,Q271889
UK,Finance,Gordon Brown,2 May 1997,27 June 2007,1951-02-20,,,Q10648
UK,Finance,Alistair Darling,28 June 2007,11 May 2010,1953-11-28,2023-11-30,cancer,Q296639
UK,Finance,George Osborne,11 May 2010,13 July 2016,1971-05-23,,,Q332493
UK,Finance,Philip Hammond,13 July 2016,24 July 2019,1955-12-04,,,Q332987
UK,Finance,Sajid Javid,24 July 2019,13 February 2020,1969-12-05,,,Q727798
UK,Finance,Rishi Sunak,13 February 2020,5 July 2022,1980-05-12,,,Q20055561
UK,Finance,Nadhim Zahawi,5 July 2022,6 September 2022,1967-06-02,,,Q259361
UK,Finance,Kwasi Kwarteng,6 September 2022,14 October 2022,1975-05-26,,,Q750204
UK,Finance,Jeremy Hunt,14 October 2022,5 July 2024,1966-11-01,,,Q333533
UK,Finance,Rachel Reeves,5 July 2024,Incumbent,1979-02-13,,,Q574896
