country,portfolio,name,start_date,end_date
UK,Finance,Denis Healey,5 March 1974,4 May 1979
UK,Finance,Geoffrey Howe,4 May 1979,11 June 1983
UK,Finance,Nigel Lawson,11 June 1983,26 October 1989
UK,Finance,John Major,26 October 1989,28 November 1990
UK,Finance,Norman Lamont,28 November 1990,27 May 1993
UK,Finance,Kenneth Clarke,27 May 1993,2 May 1997
UK,Finance,Gordon Brown,2 May 1997,27 June 2007
UK,Finance,Alistair Darling,28 June 2007,11 May 2010
UK,Finance,George Osborne,11 May 2010,13 July 2016
UK,Finance,Philip Hammond,13 July 2016,24 July 2019
UK,Finance,Sajid Javid,24 July 2019,13 February 2020
UK,Finance,Rishi Sunak,13 February 2020,5 July 2022
UK,Finance,Nadhim Zahawi,5 July 2022,6 September 2022
UK,Finance,Kwasi Kwarteng,6 September 2022,14 October 2022
UK,Finance,Jeremy Hunt,14 October 2022,5 July 2024
UK,Finance,Rachel Reeves,5 July 2024,Incumbent
