country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
UK,Health,Barbara Castle,5 March 1974,8 April 1976,1910-10-06,2002-05-03,,Q2883936
UK,Health,David Ennals,8 April 1976,4 May 1979,1922-08-19,1995-06-17,pancreatic cancer,Q5233398
UK,Health,Patrick Jenkin,5 May 1979,14 September 1981,1926-09-07,2016-12-20,,Q24082
UK,Health,Norman Fowler,14 September 1981,13 June 1987,1938-02-02,,,Q332919
UK,Health,John Moore,13 June 1987,25 July 1988,,,,Q417574
UK,Health,Kenneth Clarke,25 July 1988,2 November 1990,1940-07-02,,,Q271889
UK,Health,William Waldegrave,2 November 1990,10 April 1992,,,,Q8019888
UK,Health,Virginia Bottomley,10 April 1992,5 July 1995,1948-03-12,,,Q332696
UK,Health,Stephen Dorrell,5 July 1995,2 May 1997,1952-03-25,,,Q300349
UK,Health,Frank Dobson,3 May 1997,11 October 1999,1940-03-15,2019-11-11,,Q300182
UK,Health,Alan Milburn,11 October 1999,13 June 2003,1958-01-27,,,Q333459
UK,Health,John Reid,13 June 2003,6 May 2005,,,,Q1039953
UK,Health,Patricia Hewitt,6 May 2005,28 June 2007,1948-12-02,,,Q332799
UK,Health,Alan Johnson,28 June 2007,5 June 2009,1950-05-17,,,Q332336
UK,Health,Andy Burnham,5 June 2009,11 May 2010,1970-01-07,,,Q269909
UK,Health,Andrew Lansley,11 May 2010,4 September 2012,1956-12-11,,,Q333276
UK,Health,Jeremy Hunt,4 September 2012,8 January 2018,1966-11-01,,,Q333533
UK,Health,Jeremy Hunt,8 January 2018,9 July 2018,1966-11-01,,,Q333533
UK,Health,Matt Hancock,9 July 2018,26 June 2021,1978-10-02,,,Q478161
UK,Health,Sajid Javid,26 June 2021,5 July 2022,1969-12-05,,,Q727798
UK,Health,Steve Barclay,5 July 2022,6 September 2022,1972-05-03,,,Q260546
UK,Health,Thérèse Coffey,6 September 2022,25 October 2022,1971-11-18,,,Q290554
UK,Health,Steve Barclay,25 October 2022,13 November 2023,1972-05-03,,,Q260546
UK,Health,Victoria Atkins,13 November 2023,5 July 2024,1976-03-22,,,Q19938362
UK,Health,Wes Streeting,5 July 2024,Incumbent,1983-01-21,,,Q7983764
