country,portfolio,name,start_date,end_date
UK,Health,Barbara Castle,5 March 1974,8 April 1976
UK,Health,David Ennals,8 April 1976,4 May 1979
UK,Health,Patrick Jenkin,5 May 1979,14 September 1981
UK,Health,Norman Fowler,14 September 1981,13 June 1987
UK,Health,John Moore,13 June 1987,25 July 1988
UK,Health,Kenneth Clarke,25 July 1988,2 November 1990
UK,Health,William Waldegrave,2 November 1990,10 April 1992
UK,Health,Virginia Bottomley,10 April 1992,5 July 1995
UK,Health,Stephen Dorrell,5 July 1995,2 May 1997
UK,Health,Frank Dobson,3 May 1997,11 October 1999
UK,Health,Alan Milburn,11 October 1999,13 June 2003
UK,Health,John Reid,13 June 2003,6 May 2005
UK,Health,Patricia Hewitt,6 May 2005,28 June 2007
UK,Health,Alan Johnson,28 June 2007,5 June 2009
UK,Health,Andy Burnham,5 June 2009,11 May 2010
UK,Health,Andrew Lansley,11 May 2010,4 September 2012
UK,Health,Jeremy Hunt,4 September 2012,8 January 2018
UK,Health,Jeremy Hunt,8 January 2018,9 July 2018
UK,Health,Matt Hancock,9 July 2018,26 June 2021
UK,Health,Sajid Javid,26 June 2021,5 July 2022
UK,Health,Steve Barclay,5 July 2022,6 September 2022
UK,Health,Thérèse Coffey,6 September 2022,25 October 2022
UK,Health,Steve Barclay,25 October 2022,13 November 2023
UK,Health,Victoria Atkins,13 November 2023,5 July 2024
UK,Health,Wes Streeting,5 July 2024,Incumbent
