country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
UK,Interior,Roy Jenkins,5 March 1974,10 September 1976,1920-11-11,2003-01-05,myocardial infarction,Q323488
UK,Interior,Merlyn Rees,10 September 1976,4 May 1979,1920-12-18,2006-01-05,falling from height,Q336534
UK,Interior,William Whitelaw,4 May 1979,11 June 1983,1918-06-28,1999-07-01,,Q333963
UK,Interior,Leon Brittan,11 June 1983,2 September 1985,1939-09-25,2015-01-21,cancer,Q332607
UK,Interior,Douglas Hurd,2 September 1985,26 October 1989,1930-03-08,,,Q337375
UK,Interior,David Waddington,26 October 1989,28 November 1990,1929-08-02,2017-02-23,,Q334565
UK,Interior,Kenneth Baker,28 November 1990,10 April 1992,,,,Q1738950
UK,Interior,Kenneth Clarke,10 April 1992,27 May 1993,1940-07-02,,,Q271889
UK,Interior,Michael Howard,27 May 1993,2 May 1997,1941-07-07,,,Q325381
UK,Interior,Jack Straw,2 May 1997,8 June 2001,1946-08-03,,,Q311278
UK,Interior,David Blunkett,8 June 2001,15 December 2004,1947-06-06,,,Q264196
UK,Interior,Charles Clarke,15 December 2004,5 May 2006,1950-09-21,,,Q333758
UK,Interior,John Reid,5 May 2006,27 June 2007,,,,Q1039953
UK,Interior,Jacqui Smith,28 June 2007,5 June 2009,1962-11-03,,,Q237217
UK,Interior,Alan Johnson,5 June 2009,11 May 2010,1950-05-17,,,Q332336
UK,Interior,Theresa May,12 May 2010,13 July 2016,1956-10-01,,,Q264766
UK,Interior,Amber Rudd,13 July 2016,29 April 2018,1963-08-01,,,Q479171
UK,Interior,Sajid Javid,30 April 2018,24 July 2019,1969-12-05,,,Q727798
UK,Interior,Priti Patel,24 July 2019,6 September 2022,1972-03-29,,,Q575733
UK,Interior,Suella Braverman,6 September 2022,19 October 2022,1980-04-03,,,Q19957769
UK,Interior,Grant Shapps,19 October 2022,25 October 2022,1968-09-14,,,Q478596
UK,Interior,Suella Braverman,25 October 2022,13 November 2023,1980-04-03,,,Q19957769
UK,Interior,James Cleverly,13 November 2023,5 July 2024,1969-09-04,,,Q6131460
UK,Interior,Yvette Cooper,5 July 2024,5 September 2025,1969-03-20,,,Q291057
UK,Interior,Shabana Mahmood,5 September 2025,Present,1980-09-17,,,Q695007
