country,portfolio,name,start_date,end_date
UK,Interior,"Roy Jenkins","5 March 1974","10 September 1976"
UK,Interior,"Merlyn Rees","10 September 1976","4 May 1979"
UK,Interior,"William Whitelaw","4 May 1979","11 June 1983"
UK,Interior,"Leon Brittan","11 June 1983","2 September 1985"
UK,Interior,"Douglas Hurd","2 September 1985","26 October 1989"
UK,Interior,"David Waddington","26 October 1989","28 November 1990"
UK,Interior,"Kenneth Baker","28 November 1990","10 April 1992"
UK,Interior,"Kenneth Clarke","10 April 1992","27 May 1993"
UK,Interior,"Michael Howard","27 May 1993","2 May 1997"
UK,Interior,"Jack Straw","2 May 1997","8 June 2001"
UK,Interior,"David Blunkett","8 June 2001","15 December 2004"
UK,Interior,"Charles Clarke","15 December 2004","5 May 2006"
UK,Interior,"John Reid","5 May 2006","27 June 2007"
UK,Interior,"Jacqui Smith","28 June 2007","5 June 2009"
UK,Interior,"Alan Johnson","5 June 2009","11 May 2010"
UK,Interior,"Theresa May","12 May 2010","13 July 2016"
UK,Interior,"Amber Rudd","13 July 2016","29 April 2018"
UK,Interior,"Sajid Javid","30 April 2018","24 July 2019"
UK,Interior,"Priti Patel","24 July 2019","6 September 2022"
UK,Interior,"Suella Braverman","6 September 2022","19 October 2022"
UK,Interior,"Grant Shapps","19 October 2022","25 October 2022"
UK,Interior,"Suella Braverman","25 October 2022","13 November 2023"
UK,Interior,"James Cleverly","13 November 2023","5 July 2024"
UK,Interior,"Yvette Cooper","5 July 2024","5 September 2025"
UK,Interior,"Shabana Mahmood","5 September 2025","Present"
