country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
UK,Transport,Anthony Crosland,5 March 1974,8 April 1976,1918-08-29,1977-02-19,cerebrovascular disease,Q301252
UK,Transport,Bill Rodgers,10 September 1976,4 May 1979,1928-10-28,,,Q333259
UK,Transport,Norman Fowler,11 May 1979,5 January 1981,1938-02-02,,,Q332919
UK,Transport,Norman Fowler,5 January 1981,14 September 1981,1938-02-02,,,Q332919
UK,Transport,David Howell,14 September 1981,11 June 1983,,,,Q449230
UK,Transport,Tom King,11 June 1983,16 October 1983,,,,Q20661376
UK,Transport,Nicholas Ridley,16 October 1983,21 May 1986,,,,Q1271384
UK,Transport,John Moore,21 May 1986,13 June 1987,,,,Q417574
UK,Transport,Paul Channon,13 June 1987,24 July 1989,1935-10-09,2007-01-27,,Q3069915
UK,Transport,Cecil Parkinson,24 July 1989,28 November 1990,1931-09-01,2016-01-22,cancer,Q327810
UK,Transport,Malcolm Rifkind,28 November 1990,10 April 1992,1946-06-21,,,Q333487
UK,Transport,John MacGregor,11 April 1992,20 July 1994,,,,Q6246093
UK,Transport,Brian Mawhinney,20 July 1994,5 July 1995,1940-07-26,2019-11-09,,Q333410
UK,Transport,"Sir George Young, 6th Baronet",5 July 1995,2 May 1997,1941-07-16,,,Q259836
UK,Transport,John Prescott,2 May 1997,7 June 2001,1938-05-31,2024-11-20,Alzheimer's disease,Q332393
UK,Transport,Stephen Byers,8 June 2001,28 May 2002,1953-04-13,,,Q332837
UK,Transport,Alistair Darling,29 May 2002,5 May 2006,1953-11-28,2023-11-30,cancer,Q296639
UK,Transport,Douglas Alexander,5 May 2006,28 June 2007,1967-10-26,,,Q259106
UK,Transport,Ruth Kelly,28 June 2007,5 October 2008,1968-05-09,,,Q272644
UK,Transport,Geoff Hoon,5 October 2008,5 June 2009,1953-12-06,,,Q332385
UK,Transport,"Andrew Adonis, Baron Adonis",6 June 2009,6 May 2010,1963-02-22,,,Q337156
UK,Transport,Philip Hammond,12 May 2010,14 October 2011,1955-12-04,,,Q332987
UK,Transport,Justine Greening,14 October 2011,6 September 2012,1969-04-30,,,Q333012
UK,Transport,Patrick McLoughlin,6 September 2012,14 July 2016,1957-11-30,,,Q333267
UK,Transport,Chris Grayling,14 July 2016,24 July 2019,1962-04-01,,,Q337453
UK,Transport,Grant Shapps,24 July 2019,6 September 2022,1968-09-14,,,Q478596
UK,Transport,Anne-Marie Trevelyan,6 September 2022,25 October 2022,1969-04-06,,,Q20648244
UK,Transport,Mark Harper,25 October 2022,5 July 2024,1970-02-26,,,Q478276
UK,Transport,Louise Haigh,5 July 2024,29 November 2024,1987-07-22,,,Q19957992
UK,Transport,Heidi Alexander,29 November 2024,Incumbent,1975-04-17,,,Q259359
