country,portfolio,name,start_date,end_date
UK,Transport,Anthony Crosland,5 March 1974,8 April 1976
UK,Transport,Bill Rodgers,10 September 1976,4 May 1979
UK,Transport,Norman Fowler,11 May 1979,5 January 1981
UK,Transport,Norman Fowler,5 January 1981,14 September 1981
UK,Transport,David Howell,14 September 1981,11 June 1983
UK,Transport,Tom King,11 June 1983,16 October 1983
UK,Transport,Nicholas Ridley,16 October 1983,21 May 1986
UK,Transport,John Moore,21 May 1986,13 June 1987
UK,Transport,Paul Channon,13 June 1987,24 July 1989
UK,Transport,Cecil Parkinson,24 July 1989,28 November 1990
UK,Transport,Malcolm Rifkind,28 November 1990,10 April 1992
UK,Transport,John MacGregor,11 April 1992,20 July 1994
UK,Transport,Brian Mawhinney,20 July 1994,5 July 1995
UK,Transport,"Sir George Young, 6th Baronet",5 July 1995,2 May 1997
UK,Transport,John Prescott,2 May 1997,7 June 2001
UK,Transport,Stephen Byers,8 June 2001,28 May 2002
UK,Transport,Alistair Darling,29 May 2002,5 May 2006
UK,Transport,Douglas Alexander,5 May 2006,28 June 2007
UK,Transport,Ruth Kelly,28 June 2007,5 October 2008
UK,Transport,Geoff Hoon,5 October 2008,5 June 2009
UK,Transport,"Andrew Adonis, Baron Adonis",6 June 2009,6 May 2010
UK,Transport,Philip Hammond,12 May 2010,14 October 2011
UK,Transport,Justine Greening,14 October 2011,6 September 2012
UK,Transport,Patrick McLoughlin,6 September 2012,14 July 2016
UK,Transport,Chris Grayling,14 July 2016,24 July 2019
UK,Transport,Grant Shapps,24 July 2019,6 September 2022
UK,Transport,Anne-Marie Trevelyan,6 September 2022,25 October 2022
UK,Transport,Mark Harper,25 October 2022,5 July 2024
UK,Transport,Louise Haigh,5 July 2024,29 November 2024
UK,Transport,Heidi Alexander,29 November 2024,Incumbent
