country,portfolio,name,start_date,end_date,exit_reason
UK,Defense,Winston Churchill MP for Epping (1874–1965),10 May 1940,27 July 1945,Simulation: Fired/Resigned
UK,Defense,Winston Churchill MP for Epping (1874–1965),10 May 1940,27 July 1945,Simulation: Fired/Resigned
UK,Defense,Clement Attlee MP for Limehouse (1883–1967),27 July 1945,20 December 1946,Simulation: Fired/Resigned
UK,Defense,A. V. Alexander MP for Sheffield Hillsborough (1885–1965),20 December 1946,28 February 1950,Simulation: Fired/Resigned
UK,Defense,Emanuel Shinwell MP for Easington (1884–1986),28 February 1950,26 October 1951,Simulation: Fired/Resigned
UK,Defense,Winston Churchill MP for Woodford (1874–1965),28 October 1951,1 March 1952,Simulation: Fired/Resigned
UK,Defense,Harold Alexander 1st Earl Alexander of Tunis (1891–1969),1 March 1952,18 October 1954,Simulation: Fired/Resigned
UK,Defense,Harold Macmillan MP for Bromley (1894–1986),18 October 1954,7 April 1955,Simulation: Fired/Resigned
UK,Defense,Selwyn Lloyd MP for The Wirral (1904–1978),7 April 1955,20 December 1955,Simulation: Fired/Resigned
UK,Defense,Walter Monckton MP for Bristol West (1891–1965),20 December 1955,18 October 1956,Simulation: Fired/Resigned
UK,Defense,Antony Head MP for Carshalton (1906–1983),18 October 1956,9 January 1957,Simulation: Fired/Resigned
UK,Defense,Duncan Sandys MP for Streatham (1906–1987),13 January 1957,14 October 1959,Simulation: Fired/Resigned
UK,Defense,Harold Watkinson MP for Woking (1910–1995),14 October 1959,13 July 1962,Simulation: Fired/Resigned
UK,Defense,Peter Thorneycroft MP for Monmouth (1909–1994),13 July 1962,1 April 1964,Simulation: Fired/Resigned
UK,Defense,Peter Thorneycroft MP for Monmouth (1909–1994),13 July 1962,1 April 1964,Simulation: Fired/Resigned
